2025-11-08 18:25:25 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-08 18:25:25 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-08 18:34:58 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-08 18:34:58 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-08 18:47:29 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-08 18:47:29 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 09:26:23 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 09:26:23 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 09:37:52 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 09:37:52 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 09:41:26 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 09:41:26 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 09:41:48 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 09:41:48 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 09:47:08 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 09:47:08 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 09:48:32 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 09:48:32 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 09:55:19 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 09:55:19 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 09:55:57 | Authentication Event | Employee ID: 2 | SUCCESS
2025-11-10 09:55:57 | Authentication Event | Employee ID: 2 | SUCCESS
2025-11-10 10:02:27 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 10:02:27 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 10:02:44 | Authentication Event | Employee ID: 2 | SUCCESS
2025-11-10 10:02:44 | Authentication Event | Employee ID: 2 | SUCCESS
2025-11-10 10:11:05 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 10:11:05 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 10:15:02 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 10:15:02 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 10:15:21 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 10:15:21 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 10:20:02 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 10:20:02 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 10:33:46 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 10:33:46 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 10:46:56 | Authentication Event | Employee ID: 2 | SUCCESS
2025-11-10 10:46:56 | Authentication Event | Employee ID: 2 | SUCCESS
2025-11-10 10:47:13 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-10 10:47:13 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-11 23:16:15 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-11 23:16:15 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-11 23:24:07 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-11 23:24:07 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-11 23:40:19 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-11 23:40:19 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-11 23:45:19 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-11 23:45:19 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-11 23:51:59 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-11 23:51:59 | Authentication Event | Employee ID: 1 | SUCCESS
2025-11-11 23:53:35 | Authentication Event | Employee ID: 3 | SUCCESS
2025-11-11 23:53:35 | Authentication Event | Employee ID: 3 | SUCCESS
